Protein,logFC,AveExpr,t,P.Value,B,group_effect,group_pvalue,time_effect,time_pvalue,interaction_effect,interaction_pvalue,aic,bic,n_obs,test_method,adj.P.Val,Significant,Significance,Description,Gene,Protein Gene,UniProt_Accession,UniProt_Entry_Name,UniProt_Database
sp|P23588|IF4B_HUMAN,-1.4319493498044884,9.33983668937922,,0.4235447621962968,,-1.4319493498044884,0.4235447621962968,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7067105785508612,False,Not significant,Eukaryotic translation initiation factor 4B,EIF4B,EIF4B,P23588,IF4B_HUMAN,SwissProt
sp|Q96JF0|SIAT2_HUMAN,-0.2281088470090229,11.412252212854927,,0.4239732229257983,,-0.2281088470090229,0.4239732229257983,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7067105785508612,False,Not significant,"Beta-galactoside alpha-2,6-sialyltransferase 2",ST6GAL2,ST6GAL2,Q96JF0,SIAT2_HUMAN,SwissProt
sp|P19320|VCAM1_HUMAN,0.1409142079309506,19.810420653673656,,0.4240263471305167,,0.1409142079309506,0.4240263471305167,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7067105785508612,False,Not significant,Vascular cell adhesion protein 1,VCAM1,VCAM1,P19320,VCAM1_HUMAN,SwissProt
sp|P15169|CBPN_HUMAN,0.1907906466221338,21.369007833996758,,0.4257685327741628,,0.1907906466221338,0.4257685327741628,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7088321551058329,False,Not significant,Carboxypeptidase N catalytic chain,CPN1,CPN1,P15169,CBPN_HUMAN,SwissProt
sp|O00410|IPO5_HUMAN,-0.4156286199906758,13.511205937205897,,0.4259210756556978,,-0.4156286199906758,0.4259210756556978,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7088321551058329,False,Not significant,Importin-5,IPO5,IPO5,O00410,IPO5_HUMAN,SwissProt
sp|P35914|HMGCL_HUMAN,2.5959394812025014,5.934563323194836,,0.4263153588415305,,2.5959394812025014,0.4263153588415305,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7089708374607508,False,Not significant,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",HMGCL,HMGCL,P35914,HMGCL_HUMAN,SwissProt
sp|O00571|DDX3X_HUMAN,-0.34148737859520917,11.522782562377365,,0.4271145063425821,,-0.34148737859520917,0.4271145063425821,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7093420514237124,False,Not significant,ATP-dependent RNA helicase DDX3X,DDX3X,DDX3X,O00571,DDX3X_HUMAN,SwissProt
sp|O15143|ARC1B_HUMAN,0.26657984715941013,17.594309443524054,,0.4271608055284023,,0.26657984715941013,0.4271608055284023,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7093420514237124,False,Not significant,Actin-related protein 2/3 complex subunit 1B,ARPC1B,ARPC1B,O15143,ARC1B_HUMAN,SwissProt
sp|Q9H2G2|SLK_HUMAN,0.2698128129796602,12.1388222828196,,0.4280071771728373,,0.2698128129796602,0.4280071771728373,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7102302503304724,False,Not significant,STE20-like serine/threonine-protein kinase,SLK,SLK,Q9H2G2,SLK_HUMAN,SwissProt
sp|Q02094|RHAG_HUMAN,-1.672592273140656,8.565935357470181,,0.4284517564504471,,-1.672592273140656,0.4284517564504471,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7104509125141959,False,Not significant,Ammonium transporter Rh type A,RHAG,RHAG,Q02094,RHAG_HUMAN,SwissProt
sp|Q8WWI5|CTL1_HUMAN,0.1898163094030139,15.814388660008431,,0.4290474731681042,,0.1898163094030139,0.4290474731681042,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7109216851913355,False,Not significant,Choline transporter-like protein 1,SLC44A1,SLC44A1,Q8WWI5,CTL1_HUMAN,SwissProt
sp|P09914|IFIT1_HUMAN / sp|Q13325|IFIT5_HUMAN,0.2596268431533061,12.899545659742913,,0.4302235108154301,,0.2596268431533061,0.4302235108154301,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7110873972720965,False,Not significant,Interferon-induced protein with tetratricopeptide repeats 1,IFIT1 / IFIT5,IFIT1 / IFIT5,P09914,,
sp|Q15056|IF4H_HUMAN,-2.6402499847059526,5.915357350672476,,0.4305558436204422,,-2.6402499847059526,0.4305558436204422,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7110873972720965,False,Not significant,Eukaryotic translation initiation factor 4H,EIF4H,EIF4H,Q15056,IF4H_HUMAN,SwissProt
sp|Q15828|CYTM_HUMAN,3.3063304738472654,4.625080159293105,,0.4305779684650134,,3.3063304738472654,0.4305779684650134,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7110873972720965,False,Not significant,Cystatin-M,CST6,CST6,Q15828,CYTM_HUMAN,SwissProt
sp|P61073|CXCR4_HUMAN,1.5964540819987156,9.170302841963306,,0.4305887713470722,,1.5964540819987156,0.4305887713470722,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7110873972720965,False,Not significant,C-X-C chemokine receptor type 4,CXCR4,CXCR4,P61073,CXCR4_HUMAN,SwissProt
sp|Q5JWF2|GNAS1_HUMAN,0.1376142162914733,15.339952982515065,,0.43070688404945845,,0.1376142162914733,0.43070688404945845,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7110873972720965,False,Not significant,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,GNAS,GNAS,Q5JWF2,GNAS1_HUMAN,SwissProt
sp|P33176|KINH_HUMAN,-0.1467194173882888,12.064123974052352,,0.43136027931465126,,-0.1467194173882888,0.43136027931465126,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7113449552840013,False,Not significant,Kinesin-1 heavy chain,KIF5B,KIF5B,P33176,KINH_HUMAN,SwissProt
sp|P34913|HYES_HUMAN,-1.316176522483607,9.280501250461397,,0.43174316279210634,,-1.316176522483607,0.43174316279210634,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7113449552840013,False,Not significant,Bifunctional epoxide hydrolase 2,EPHX2,EPHX2,P34913,HYES_HUMAN,SwissProt
sp|Q8NDA2|HMCN2_HUMAN,0.20241382925141388,11.49906794187096,,0.43183158031531055,,0.20241382925141388,0.43183158031531055,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7113449552840013,False,Not significant,Hemicentin-2,HMCN2,HMCN2,Q8NDA2,HMCN2_HUMAN,SwissProt
sp|P61421|VA0D1_HUMAN,0.22566256559935738,12.650357112973648,,0.4323267390982094,,0.22566256559935738,0.4323267390982094,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7113449552840013,False,Not significant,V-type proton ATPase subunit d 1,ATP6V0D1,ATP6V0D1,P61421,VA0D1_HUMAN,SwissProt
sp|O75915|PRAF3_HUMAN,0.23595161668608022,13.984027264906869,,0.4324228543963271,,0.23595161668608022,0.4324228543963271,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7113449552840013,False,Not significant,PRA1 family protein 3,ARL6IP5,ARL6IP5,O75915,PRAF3_HUMAN,SwissProt
sp|A0A087WSX0|LV545_HUMAN,-0.17826142127412373,16.5292239706445,,0.433859102128098,,-0.17826142127412373,0.433859102128098,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7131930445941337,False,Not significant,Immunoglobulin lambda variable 5-45,IGLV5-45,IGLV5-45,A0A087WSX0,LV545_HUMAN,SwissProt
sp|P53004|BIEA_HUMAN,-0.2672979915418936,14.343911041467386,,0.4345022811788143,,-0.2672979915418936,0.4345022811788143,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7137357356539601,False,Not significant,Biliverdin reductase A,BLVRA,BLVRA,P53004,BIEA_HUMAN,SwissProt
sp|O75964|ATP5L_HUMAN,1.4439513651413225,9.508567216577402,,0.4351586548587971,,1.4439513651413225,0.4351586548587971,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7142993038718917,False,Not significant,"ATP synthase subunit g, mitochondrial",ATP5MG,ATP5MG,O75964,ATP5L_HUMAN,SwissProt
sp|Q12904|AIMP1_HUMAN,2.0276525901890565,7.954912287704162,,0.4366673417737298,,2.0276525901890565,0.4366673417737298,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7162601001756144,False,Not significant,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,AIMP1,AIMP1,Q12904,AIMP1_HUMAN,SwissProt
sp|P19367|HXK1_HUMAN,-0.18011102129447296,15.015646760893757,,0.4375618100807762,,-0.18011102129447296,0.4375618100807762,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7171127231321314,False,Not significant,Hexokinase-1,HK1,HK1,P19367,HXK1_HUMAN,SwissProt
sp|Q5JXB2|UE2NL_HUMAN / sp|P61088|UBE2N_HUMAN,0.14046531510453697,12.365920356300308,,0.43781618885961704,,0.14046531510453697,0.43781618885961704,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7171127231321314,False,Not significant,Putative ubiquitin-conjugating enzyme E2 N-like,UBE2NL / UBE2N,UBE2NL / UBE2N,Q5JXB2,,
sp|P06702|S10A9_HUMAN,-0.29298410407617015,15.88326551719477,,0.43898273212551864,,-0.29298410407617015,0.43898273212551864,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7185072715335122,False,Not significant,Protein S100-A9,S100A9,S100A9,P06702,S10A9_HUMAN,SwissProt
sp|Q9H0E2|TOLIP_HUMAN,-0.2022716499040846,12.076345968768287,,0.44009964625831943,,-0.2022716499040846,0.44009964625831943,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7195734842823276,False,Not significant,Toll-interacting protein,TOLLIP,TOLLIP,Q9H0E2,TOLIP_HUMAN,SwissProt
sp|Q8N128|F177A_HUMAN,-0.2210800156056421,14.105561470996943,,0.44026535551484514,,-0.2210800156056421,0.44026535551484514,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7195734842823276,False,Not significant,Protein FAM177A1,FAM177A1,FAM177A1,Q8N128,F177A_HUMAN,SwissProt
sp|Q9P1F3|ABRAL_HUMAN,1.513406711125705,10.803798532543984,,0.44154807067836443,,1.513406711125705,0.44154807067836443,,,,,,,29,Mixed-effects model (Wald F-test on time),0.721153009417386,False,Not significant,Costars family protein ABRACL,ABRACL,ABRACL,Q9P1F3,ABRAL_HUMAN,SwissProt
sp|Q9BXR6|FHR5_HUMAN,0.1909489330410945,19.075816579869205,,0.4418855999217155,,0.1909489330410945,0.4418855999217155,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7211876648686553,False,Not significant,Complement factor H-related protein 5,CFHR5,CFHR5,Q9BXR6,FHR5_HUMAN,SwissProt
sp|O14964|HGS_HUMAN,-0.367954308978247,10.37882875332961,,0.44220948312052366,,-0.367954308978247,0.44220948312052366,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7212000153896952,False,Not significant,Hepatocyte growth factor-regulated tyrosine kinase substrate,HGS,HGS,O14964,HGS_HUMAN,SwissProt
sp|Q9NT99|LRC4B_HUMAN,0.29256864594199394,13.150349075183176,,0.4431304374513584,,0.29256864594199394,0.4431304374513584,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7221854162895619,False,Not significant,Leucine-rich repeat-containing protein 4B,LRRC4B,LRRC4B,Q9NT99,LRC4B_HUMAN,SwissProt
sp|Q71U36|TBA1A_HUMAN,-0.10419231320875122,20.55068696937859,,0.4436510058939013,,-0.10419231320875122,0.4436510058939013,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7223856859894366,False,Not significant,Tubulin alpha-1A chain,TUBA1A,TUBA1A,Q71U36,TBA1A_HUMAN,SwissProt
sp|P30086|PEBP1_HUMAN,0.2521690371632548,12.587280429830912,,0.4438869938908775,,0.2521690371632548,0.4438869938908775,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7223856859894366,False,Not significant,Phosphatidylethanolamine-binding protein 1,PEBP1,PEBP1,P30086,PEBP1_HUMAN,SwissProt
sp|Q96QR1|SG3A1_HUMAN,1.2012184258734373,9.256584139052226,,0.4444855931244591,,1.2012184258734373,0.4444855931244591,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7228439032266525,False,Not significant,Secretoglobin family 3A member 1,SCGB3A1,SCGB3A1,Q96QR1,SG3A1_HUMAN,SwissProt
sp|Q00325|S25A3_HUMAN,-0.4211955505479287,14.140970794626831,,0.4455075769809066,,-0.4211955505479287,0.4455075769809066,,,,,,,29,Mixed-effects model (Wald F-test on time),0.723320056546699,False,Not significant,Solute carrier family 25 member 3,SLC25A3,SLC25A3,Q00325,S25A3_HUMAN,SwissProt
sp|P54577|SYYC_HUMAN,-0.2802976305863308,10.99371014957852,,0.44553508651981544,,-0.2802976305863308,0.44553508651981544,,,,,,,29,Mixed-effects model (Wald F-test on time),0.723320056546699,False,Not significant,"Tyrosine--tRNA ligase, cytoplasmic",YARS1,YARS1,P54577,SYYC_HUMAN,SwissProt
sp|Q5T750|KPLCE_HUMAN,-0.6300635907692321,11.701063900999157,,0.4457371585126938,,-0.6300635907692321,0.4457371585126938,,,,,,,29,Mixed-effects model (Wald F-test on time),0.723320056546699,False,Not significant,Protein KPLCE,KPLCE,KPLCE,Q5T750,KPLCE_HUMAN,SwissProt
sp|P16157|ANK1_HUMAN,-0.373708408561963,17.243213418710877,,0.44630088719445404,,-0.373708408561963,0.44630088719445404,,,,,,,29,Mixed-effects model (Wald F-test on time),0.723320056546699,False,Not significant,Ankyrin-1,ANK1,ANK1,P16157,ANK1_HUMAN,SwissProt
sp|P20674|COX5A_HUMAN,-0.43868884542118347,12.190183627972385,,0.4468084050462747,,-0.43868884542118347,0.4468084050462747,,,,,,,29,Mixed-effects model (Wald F-test on time),0.723320056546699,False,Not significant,"Cytochrome c oxidase subunit 5A, mitochondrial",COX5A,COX5A,P20674,COX5A_HUMAN,SwissProt
sp|Q08554|DSC1_HUMAN,-0.26764888435864836,14.737651325149875,,0.44693146207527923,,-0.26764888435864836,0.44693146207527923,,,,,,,29,Mixed-effects model (Wald F-test on time),0.723320056546699,False,Not significant,Desmocollin-1,DSC1,DSC1,Q08554,DSC1_HUMAN,SwissProt
sp|Q9Y6W5|WASF2_HUMAN,0.17352184902395762,15.220326159207271,,0.4470243092849093,,0.17352184902395762,0.4470243092849093,,,,,,,29,Mixed-effects model (Wald F-test on time),0.723320056546699,False,Not significant,Actin-binding protein WASF2,WASF2,WASF2,Q9Y6W5,WASF2_HUMAN,SwissProt
sp|Q9H444|CHM4B_HUMAN,-1.2618740261570982,9.117503027636197,,0.4473163507591428,,-1.2618740261570982,0.4473163507591428,,,,,,,29,Mixed-effects model (Wald F-test on time),0.723320056546699,False,Not significant,Charged multivesicular body protein 4b,CHMP4B,CHMP4B,Q9H444,CHM4B_HUMAN,SwissProt
sp|P29401|TKT_HUMAN,0.17651403062646692,15.646912147914106,,0.4502910762095851,,0.17651403062646692,0.4502910762095851,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7265755912975257,False,Not significant,Transketolase,TKT,TKT,P29401,TKT_HUMAN,SwissProt
sp|Q9UN86|G3BP2_HUMAN,-0.3967177325722949,11.035762246564792,,0.4506438576119266,,-0.3967177325722949,0.4506438576119266,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7265755912975257,False,Not significant,Ras GTPase-activating protein-binding protein 2,G3BP2,G3BP2,Q9UN86,G3BP2_HUMAN,SwissProt
sp|P00390|GSHR_HUMAN,0.152831156942662,14.83518842270075,,0.4508956253480507,,0.152831156942662,0.4508956253480507,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7265755912975257,False,Not significant,"Glutathione reductase, mitochondrial",GSR,GSR,P00390,GSHR_HUMAN,SwissProt
sp|Q504Y2|PKDCC_HUMAN,-0.14677622480119937,12.898550262954618,,0.450956177553711,,-0.14677622480119937,0.450956177553711,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7265755912975257,False,Not significant,Extracellular tyrosine-protein kinase PKDCC,PKDCC,PKDCC,Q504Y2,PKDCC_HUMAN,SwissProt
sp|A0A075B6I4|LVX54_HUMAN,-1.2066280738123407,8.343080301377988,,0.4510231622335513,,-1.2066280738123407,0.4510231622335513,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7265755912975257,False,Not significant,Immunoglobulin lambda variable 10-54,IGLV10-54,IGLV10-54,A0A075B6I4,LVX54_HUMAN,SwissProt
sp|Q03519|TAP2_HUMAN,1.5243970227901846,8.514769019881797,,0.4513362091520807,,1.5243970227901846,0.4513362091520807,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7265755912975257,False,Not significant,Antigen peptide transporter 2,TAP2,TAP2,Q03519,TAP2_HUMAN,SwissProt
sp|P06396|GELS_HUMAN,0.1590382606009936,21.958763828775385,,0.4518747761531662,,0.1590382606009936,0.4518747761531662,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7265755912975257,False,Not significant,Gelsolin,GSN,GSN,P06396,GELS_HUMAN,SwissProt
sp|Q9GZT8|NIF3L_HUMAN,-0.6139071450534933,9.304839797550091,,0.4520700219531959,,-0.6139071450534933,0.4520700219531959,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7265755912975257,False,Not significant,NIF3-like protein 1,NIF3L1,NIF3L1,Q9GZT8,NIF3L_HUMAN,SwissProt
sp|Q9NS28|RGS18_HUMAN,0.14853453578613823,12.95652310827012,,0.45219770353122324,,0.14853453578613823,0.45219770353122324,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7265755912975257,False,Not significant,Regulator of G-protein signaling 18,RGS18,RGS18,Q9NS28,RGS18_HUMAN,SwissProt
sp|P41222|PTGDS_HUMAN,-0.19646052185504317,17.884953724412718,,0.45268212768947214,,-0.19646052185504317,0.45268212768947214,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Prostaglandin-H2 D-isomerase,PTGDS,PTGDS,P41222,PTGDS_HUMAN,SwissProt
sp|O75832|PSD10_HUMAN,-0.9109691165529001,9.928249517511434,,0.4529646073600624,,-0.9109691165529001,0.4529646073600624,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,26S proteasome non-ATPase regulatory subunit 10,PSMD10,PSMD10,O75832,PSD10_HUMAN,SwissProt
sp|O76003|GLRX3_HUMAN,1.9354417230345249,8.862868140363485,,0.4533798272228403,,1.9354417230345249,0.4533798272228403,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Glutaredoxin-3,GLRX3,GLRX3,O76003,GLRX3_HUMAN,SwissProt
sp|P08758|ANXA5_HUMAN,0.08324195864790856,15.553162160053226,,0.4543005583101438,,0.08324195864790856,0.4543005583101438,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Annexin A5,ANXA5,ANXA5,P08758,ANXA5_HUMAN,SwissProt
sp|Q6WN34|CRDL2_HUMAN,0.2467747097868206,14.5275683897771,,0.4549574616462835,,0.2467747097868206,0.4549574616462835,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Chordin-like protein 2,CHRDL2,CHRDL2,Q6WN34,CRDL2_HUMAN,SwissProt
sp|P11150|LIPC_HUMAN,0.1776265829353453,15.12121467513493,,0.455085516678409,,0.1776265829353453,0.455085516678409,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Hepatic triacylglycerol lipase,LIPC,LIPC,P11150,LIPC_HUMAN,SwissProt
sp|O43264|ZW10_HUMAN,-0.4730857139789139,10.25191259812747,,0.4551581461866976,,-0.4730857139789139,0.4551581461866976,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Centromere/kinetochore protein zw10 homolog,ZW10,ZW10,O43264,ZW10_HUMAN,SwissProt
sp|P62491|RB11A_HUMAN / sp|Q15907|RB11B_HUMAN,0.2265525470682079,16.99565765085185,,0.4554716774434501,,0.2265525470682079,0.4554716774434501,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Ras-related protein Rab-11A,RAB11A / RAB11B,RAB11A / RAB11B,P62491,,
sp|P26038|MOES_HUMAN,-0.09266253518037641,19.31739772805807,,0.45548851114960454,,-0.09266253518037641,0.45548851114960454,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Moesin,MSN,MSN,P26038,MOES_HUMAN,SwissProt
sp|Q9NTU7|CBLN4_HUMAN,1.4962055414408144,8.715328616961674,,0.4559434742202396,,1.4962055414408144,0.4559434742202396,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Cerebellin-4,CBLN4,CBLN4,Q9NTU7,CBLN4_HUMAN,SwissProt
sp|Q9UEU0|VTI1B_HUMAN,-0.8315845510417097,8.93206141840252,,0.45594659202667753,,-0.8315845510417097,0.45594659202667753,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Vesicle transport through interaction with t-SNAREs homolog 1B,VTI1B,VTI1B,Q9UEU0,VTI1B_HUMAN,SwissProt
sp|Q12906|ILF3_HUMAN,0.12681913867959302,14.485050763858244,,0.45703411757106105,,0.12681913867959302,0.45703411757106105,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Interleukin enhancer-binding factor 3,ILF3,ILF3,Q12906,ILF3_HUMAN,SwissProt
sp|P10909|CLUS_HUMAN,-0.13134884325147167,25.2774845880884,,0.4571121413904654,,-0.13134884325147167,0.4571121413904654,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Clusterin,CLU,CLU,P10909,CLUS_HUMAN,SwissProt
sp|P00367|DHE3_HUMAN,0.4374804078046012,11.687136706420674,,0.45772335770588823,,0.4374804078046012,0.45772335770588823,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,"Glutamate dehydrogenase 1, mitochondrial",GLUD1,GLUD1,P00367,DHE3_HUMAN,SwissProt
sp|P40925|MDHC_HUMAN,-0.19341315316561966,15.186026966674337,,0.45781268780756723,,-0.19341315316561966,0.45781268780756723,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,"Malate dehydrogenase, cytoplasmic",MDH1,MDH1,P40925,MDHC_HUMAN,SwissProt
sp|Q9H6X2|ANTR1_HUMAN,-0.1936594801855213,15.869007574168277,,0.4580013722341987,,-0.1936594801855213,0.4580013722341987,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Anthrax toxin receptor 1,ANTXR1,ANTXR1,Q9H6X2,ANTR1_HUMAN,SwissProt
sp|P10586|PTPRF_HUMAN,0.21998945326572253,16.422718018086496,,0.45837052099982356,,0.21998945326572253,0.45837052099982356,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Receptor-type tyrosine-protein phosphatase F,PTPRF,PTPRF,P10586,PTPRF_HUMAN,SwissProt
sp|P09493|TPM1_HUMAN,0.16942156715660883,17.820787146304195,,0.45872679346749934,,0.16942156715660883,0.45872679346749934,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Tropomyosin alpha-1 chain,TPM1,TPM1,P09493,TPM1_HUMAN,SwissProt
sp|Q7L9L4|MOB1B_HUMAN / sp|Q9H8S9|MOB1A_HUMAN,-0.43792421146602417,11.670666640817632,,0.45922578924537427,,-0.43792421146602417,0.45922578924537427,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,MOB kinase activator 1B,MOB1B / MOB1A,MOB1B / MOB1A,Q7L9L4,,
sp|O15371|EIF3D_HUMAN,0.17212617175241546,14.676597700700572,,0.4594183903886824,,0.17212617175241546,0.4594183903886824,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Eukaryotic translation initiation factor 3 subunit D,EIF3D,EIF3D,O15371,EIF3D_HUMAN,SwissProt
sp|P61158|ARP3_HUMAN,0.2401257771388089,17.769019584595647,,0.459627649593047,,0.2401257771388089,0.459627649593047,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Actin-related protein 3,ACTR3,ACTR3,P61158,ARP3_HUMAN,SwissProt
sp|Q14964|RB39A_HUMAN,-0.31348860480506074,12.963851149914092,,0.4599392251271558,,-0.31348860480506074,0.4599392251271558,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Ras-related protein Rab-39A,RAB39A,RAB39A,Q14964,RB39A_HUMAN,SwissProt
sp|Q9H2M9|RBGPR_HUMAN,-1.2236727643318133,10.168753672909695,,0.45997427409868574,,-1.2236727643318133,0.45997427409868574,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Rab3 GTPase-activating protein non-catalytic subunit,RAB3GAP2,RAB3GAP2,Q9H2M9,RBGPR_HUMAN,SwissProt
sp|Q8N5I2|ARRD1_HUMAN,0.6288235816738934,10.404155818110755,,0.46022889116797194,,0.6288235816738934,0.46022889116797194,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Arrestin domain-containing protein 1,ARRDC1,ARRDC1,Q8N5I2,ARRD1_HUMAN,SwissProt
sp|Q9UHD8|SEPT9_HUMAN,-1.2849363043812172,9.283745637875555,,0.4606598685876443,,-1.2849363043812172,0.4606598685876443,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Septin-9,SEPTIN9,SEPTIN9,Q9UHD8,SEPT9_HUMAN,SwissProt
sp|Q99685|MGLL_HUMAN,0.1932258676329475,14.091669893349378,,0.4610319758150263,,0.1932258676329475,0.4610319758150263,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Monoglyceride lipase,MGLL,MGLL,Q99685,MGLL_HUMAN,SwissProt
sp|P51153|RAB13_HUMAN,0.33671548081504676,12.627555823535701,,0.4611973249306557,,0.33671548081504676,0.4611973249306557,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Ras-related protein Rab-13,RAB13,RAB13,P51153,RAB13_HUMAN,SwissProt
sp|P24666|PPAC_HUMAN,-0.3275261396305096,13.144535311872925,,0.46122367798055997,,-0.3275261396305096,0.46122367798055997,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7267380689672955,False,Not significant,Low molecular weight phosphotyrosine protein phosphatase,ACP1,ACP1,P24666,PPAC_HUMAN,SwissProt
sp|O60437|PEPL_HUMAN,0.4168320956568909,11.23335111462329,,0.4617932416091546,,0.4168320956568909,0.4617932416091546,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7270778397707703,False,Not significant,Periplakin,PPL,PPL,O60437,PEPL_HUMAN,SwissProt
sp|Q9Y4Z0|LSM4_HUMAN,0.3318996602057561,12.073993886331403,,0.4623707289606427,,0.3318996602057561,0.4623707289606427,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7270778397707703,False,Not significant,U6 snRNA-associated Sm-like protein LSm4,LSM4,LSM4,Q9Y4Z0,LSM4_HUMAN,SwissProt
sp|P01715|LV301_HUMAN,0.31125628798996324,15.256771899145516,,0.4626161604775647,,0.31125628798996324,0.4626161604775647,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7270778397707703,False,Not significant,Immunoglobulin lambda variable 3-1,IGLV3-1,IGLV3-1,P01715,LV301_HUMAN,SwissProt
sp|A0A0C4DH33|HV124_HUMAN,0.15830218357577636,18.45765136974819,,0.4630916729593322,,0.15830218357577636,0.4630916729593322,,,,,,,29,Mixed-effects model (Wald F-test on time),0.7270778397707703,False,Not significant,Immunoglobulin heavy variable 1-24,IGHV1-24,IGHV1-24,A0A0C4DH33,HV124_HUMAN,SwissProt
