Protein,logFC,AveExpr,t,P.Value,B,group_effect,group_pvalue,time_effect,time_pvalue,aic,bic,n_obs,test_method,adj.P.Val,Significant,Significance,Description_x,Gene,Protein Gene_x,UniProt_Accession_x,UniProt_Entry_Name_x,UniProt_Database,Description_y,Protein Gene_y,UniProt_Accession_y,UniProt_Entry_Name_y
sp|O15041|SEM3E_HUMAN,-0.000601500041558634,6.647722395153054,,0.9888930643172092,,-0.0259189863252856,0.4635669787300132,-2.521602811860648,0.21572150101920884,,,36,Mixed-effects model,1.0,False,Not significant,Semaphorin-3E,SEMA3E,SEMA3E,O15041,SEM3E_HUMAN,SwissProt,Semaphorin-3E,SEMA3E,O15041,SEM3E_HUMAN
sp|P01861|IGHG4_HUMAN,4.713094043007253e-05,24.757275175268955,,0.9895748517410796,,0.00035037018862478275,0.9436580886585482,0.13192256906715966,0.43784175299765593,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin heavy constant gamma 4,IGHG4,IGHG4,P01861,IGHG4_HUMAN,SwissProt,Immunoglobulin heavy constant gamma 4,IGHG4,P01861,IGHG4_HUMAN
sp|P07093|GDN_HUMAN,4.2678881422139236e-05,14.369064297056566,,0.9901547349350923,,-0.00022312257500417735,0.9572531478336568,-0.13912848641723433,0.39348651564588033,,,36,Mixed-effects model,1.0,False,Not significant,Glia-derived nexin,SERPINE2,SERPINE2,P07093,GDN_HUMAN,SwissProt,Glia-derived nexin,SERPINE2,P07093,GDN_HUMAN
sp|Q9UPU3|SORC3_HUMAN,2.1785933489373696e-05,15.378817049180725,,0.9943281269423607,,-0.0019737480937907143,0.5648642444979732,-0.3028348448720605,0.036067316273937576,,,36,Mixed-effects model,1.0,False,Not significant,VPS10 domain-containing receptor SorCS3,SORCS3,SORCS3,Q9UPU3,SORC3_HUMAN,SwissProt,VPS10 domain-containing receptor SorCS3,SORCS3,Q9UPU3,SORC3_HUMAN
sp|O43240|KLK10_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Kallikrein-10,KLK10,KLK10,O43240,KLK10_HUMAN,SwissProt,Kallikrein-10,KLK10,O43240,KLK10_HUMAN
sp|P06858|LIPL_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Lipoprotein lipase,LPL,LPL,P06858,LIPL_HUMAN,SwissProt,Lipoprotein lipase,LPL,P06858,LIPL_HUMAN
sp|P51149|RAB7A_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Ras-related protein Rab-7a,RAB7A,RAB7A,P51149,RAB7A_HUMAN,SwissProt,Ras-related protein Rab-7a,RAB7A,P51149,RAB7A_HUMAN
sp|Q5TEC6|H37_HUMAN / sp|P84243|H33_HUMAN / sp|Q71DI3|H32_HUMAN / sp|P68431|H31_HUMAN / sp|Q6NXT2|H3C_HUMAN / sp|Q16695|H31T_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Histone H3-7,H3-7 / H3-3A / H3C15 / H3C1 / H3-5 / H3-4,H3-7 / H3-3A / H3C15 / H3C1 / H3-5 / H3-4,Q5TEC6,,,Histone H3-7,H3-7 / H3-3A / H3C15 / H3C1 / H3-5 / H3-4,Q5TEC6,
sp|Q9H8J5|MANS1_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,MANSC domain-containing protein 1,MANSC1,MANSC1,Q9H8J5,MANS1_HUMAN,SwissProt,MANSC domain-containing protein 1,MANSC1,Q9H8J5,MANS1_HUMAN
sp|P02679|FIBG_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Fibrinogen gamma chain,FGG,FGG,P02679,FIBG_HUMAN,SwissProt,Fibrinogen gamma chain,FGG,P02679,FIBG_HUMAN
sp|P05160|F13B_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Coagulation factor XIII B chain,F13B,F13B,P05160,F13B_HUMAN,SwissProt,Coagulation factor XIII B chain,F13B,P05160,F13B_HUMAN
sp|P34096|RNAS4_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Ribonuclease 4,RNASE4,RNASE4,P34096,RNAS4_HUMAN,SwissProt,Ribonuclease 4,RNASE4,P34096,RNAS4_HUMAN
sp|P48539|PCP4_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Calmodulin regulator protein PCP4,PCP4,PCP4,P48539,PCP4_HUMAN,SwissProt,Calmodulin regulator protein PCP4,PCP4,P48539,PCP4_HUMAN
sp|Q9H461|FZD8_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Frizzled-8,FZD8,FZD8,Q9H461,FZD8_HUMAN,SwissProt,Frizzled-8,FZD8,Q9H461,FZD8_HUMAN
sp|O75078|ADA11_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Disintegrin and metalloproteinase domain-containing protein 11,ADAM11,ADAM11,O75078,ADA11_HUMAN,SwissProt,Disintegrin and metalloproteinase domain-containing protein 11,ADAM11,O75078,ADA11_HUMAN
sp|P04216|THY1_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Thy-1 membrane glycoprotein,THY1,THY1,P04216,THY1_HUMAN,SwissProt,Thy-1 membrane glycoprotein,THY1,P04216,THY1_HUMAN
sp|P09211|GSTP1_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Glutathione S-transferase P,GSTP1,GSTP1,P09211,GSTP1_HUMAN,SwissProt,Glutathione S-transferase P,GSTP1,P09211,GSTP1_HUMAN
sp|Q9Y4E6|WDR7_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,WD repeat-containing protein 7,WDR7,WDR7,Q9Y4E6,WDR7_HUMAN,SwissProt,WD repeat-containing protein 7,WDR7,Q9Y4E6,WDR7_HUMAN
sp|P04259|K2C6B_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,"Keratin, type II cytoskeletal 6B",KRT6B,KRT6B,P04259,K2C6B_HUMAN,SwissProt,"Keratin, type II cytoskeletal 6B",KRT6B,P04259,K2C6B_HUMAN
sp|P07437|TBB5_HUMAN / sp|Q3ZCM7|TBB8_HUMAN / sp|Q13885|TBB2A_HUMAN / sp|Q9BVA1|TBB2B_HUMAN / sp|P68371|TBB4B_HUMAN / sp|P04350|TBB4A_HUMAN / sp|Q9BUF5|TBB6_HUMAN / sp|Q13509|TBB3_HUMAN / sp|A6NNZ2|TBB8B_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Tubulin beta chain,TUBB / TUBB8 / TUBB2A / TUBB2B / TUBB4B / TUBB4A / TUBB6 / TUBB3 / TUBB8B,TUBB / TUBB8 / TUBB2A / TUBB2B / TUBB4B / TUBB4A / TUBB6 / TUBB3 / TUBB8B,P07437,,,Tubulin beta chain,TUBB / TUBB8 / TUBB2A / TUBB2B / TUBB4B / TUBB4A / TUBB6 / TUBB3 / TUBB8B,P07437,
sp|P60660|MYL6_HUMAN / sp|P14649|MYL6B_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Myosin light polypeptide 6,MYL6 / MYL6B,MYL6 / MYL6B,P60660,,,Myosin light polypeptide 6,MYL6 / MYL6B,P60660,
sp|P00325|ADH1B_HUMAN / sp|P00326|ADH1G_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,All-trans-retinol dehydrogenase [NAD(+)] ADH1B,ADH1B / ADH1C,ADH1B / ADH1C,P00325,,,All-trans-retinol dehydrogenase [NAD(+)] ADH1B,ADH1B / ADH1C,P00325,
sp|P09417|DHPR_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Dihydropteridine reductase,QDPR,QDPR,P09417,DHPR_HUMAN,SwissProt,Dihydropteridine reductase,QDPR,P09417,DHPR_HUMAN
sp|P31949|S10AB_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Protein S100-A11,S100A11,S100A11,P31949,S10AB_HUMAN,SwissProt,Protein S100-A11,S100A11,P31949,S10AB_HUMAN
sp|P47929|LEG7_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Galectin-7,LGALS7,LGALS7,P47929,LEG7_HUMAN,SwissProt,Galectin-7,LGALS7,P47929,LEG7_HUMAN
sp|Q8NB25|F184A_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Protein FAM184A,FAM184A,FAM184A,Q8NB25,F184A_HUMAN,SwissProt,Protein FAM184A,FAM184A,Q8NB25,F184A_HUMAN
sp|Q9HBT6|CAD20_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Cadherin-20,CDH20,CDH20,Q9HBT6,CAD20_HUMAN,SwissProt,Cadherin-20,CDH20,Q9HBT6,CAD20_HUMAN
sp|P08754|GNAI3_HUMAN / sp|P09471|GNAO_HUMAN / sp|P11488|GNAT1_HUMAN / sp|P38405|GNAL_HUMAN / sp|P19087|GNAT2_HUMAN / sp|P04899|GNAI2_HUMAN / sp|P63096|GNAI1_HUMAN / sp|Q5JWF2|GNAS1_HUMAN / sp|A8MTJ3|GNAT3_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Guanine nucleotide-binding protein G(i) subunit alpha-3,GNAI3 / GNAO1 / GNAT1 / GNAL / GNAT2 / GNAI2 / GNAI1 / GNAS / GNAT3,GNAI3 / GNAO1 / GNAT1 / GNAL / GNAT2 / GNAI2 / GNAI1 / GNAS / GNAT3,P08754,,,Guanine nucleotide-binding protein G(i) subunit alpha-3,GNAI3 / GNAO1 / GNAT1 / GNAL / GNAT2 / GNAI2 / GNAI1 / GNAS / GNAT3,P08754,
sp|P19012|K1C15_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,"Keratin, type I cytoskeletal 15",KRT15,KRT15,P19012,K1C15_HUMAN,SwissProt,"Keratin, type I cytoskeletal 15",KRT15,P19012,K1C15_HUMAN
sp|P57053|H2BFS_HUMAN / sp|Q99879|H2B1M_HUMAN / sp|Q16778|H2B2E_HUMAN / sp|Q5QNW6|H2B2F_HUMAN / sp|O60814|H2B1K_HUMAN / sp|P62807|H2B1C_HUMAN / sp|P23527|H2B1O_HUMAN / sp|P06899|H2B1J_HUMAN / sp|Q99877|H2B1N_HUMAN / sp|Q99880|H2B1L_HUMAN / sp|P33778|H2B1B_HUMAN / sp|P58876|H2B1D_HUMAN / sp|Q93079|H2B1H_HUMAN / sp|Q96A08|H2B1A_HUMAN / sp|Q8N257|H2B3B_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Histone H2B type F-S,H2BC12L / H2BC14 / H2BC21 / H2BC18 / H2BC12 / H2BC4 / H2BC17 / H2BC11 / H2BC15 / H2BC13 / H2BC3 / H2BC5 / H2BC9 / H2BC1 / H2BC26,H2BC12L / H2BC14 / H2BC21 / H2BC18 / H2BC12 / H2BC4 / H2BC17 / H2BC11 / H2BC15 / H2BC13 / H2BC3 / H2BC5 / H2BC9 / H2BC1 / H2BC26,P57053,,,Histone H2B type F-S,H2BC12L / H2BC14 / H2BC21 / H2BC18 / H2BC12 / H2BC4 / H2BC17 / H2BC11 / H2BC15 / H2BC13 / H2BC3 / H2BC5 / H2BC9 / H2BC1 / H2BC26,P57053,
sp|Q15256|PTPRR_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Receptor-type tyrosine-protein phosphatase R,PTPRR,PTPRR,Q15256,PTPRR_HUMAN,SwissProt,Receptor-type tyrosine-protein phosphatase R,PTPRR,Q15256,PTPRR_HUMAN
sp|Q9BYJ0|FGFP2_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Fibroblast growth factor-binding protein 2,FGFBP2,FGFBP2,Q9BYJ0,FGFP2_HUMAN,SwissProt,Fibroblast growth factor-binding protein 2,FGFBP2,Q9BYJ0,FGFP2_HUMAN
sp|O60242|AGRB3_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Adhesion G protein-coupled receptor B3,ADGRB3,ADGRB3,O60242,AGRB3_HUMAN,SwissProt,Adhesion G protein-coupled receptor B3,ADGRB3,O60242,AGRB3_HUMAN
sp|O75093|SLIT1_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Slit homolog 1 protein,SLIT1,SLIT1,O75093,SLIT1_HUMAN,SwissProt,Slit homolog 1 protein,SLIT1,O75093,SLIT1_HUMAN
sp|P20742|PZP_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Pregnancy zone protein,PZP,PZP,P20742,PZP_HUMAN,SwissProt,Pregnancy zone protein,PZP,P20742,PZP_HUMAN
sp|P58499|FAM3B_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Protein FAM3B,FAM3B,FAM3B,P58499,FAM3B_HUMAN,SwissProt,Protein FAM3B,FAM3B,P58499,FAM3B_HUMAN
tr|A0AAG2TU05|A0AAG2TU05_HUMAN / tr|A0A087WW49|A0A087WW49_HUMAN / sp|A0A075B6R2|HV404_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Ig-like domain-containing protein,Unknown / LOC102724971 / IGHV4-4,Unknown / LOC102724971 / IGHV4-4,A0AAG2TU05,,,Ig-like domain-containing protein,Unknown / LOC102724971 / IGHV4-4,A0AAG2TU05,
sp|Q9H3R1|NDST4_HUMAN / sp|O95803|NDST3_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 4,NDST4 / NDST3,NDST4 / NDST3,Q9H3R1,,,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 4,NDST4 / NDST3,Q9H3R1,
sp|P04275|VWF_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,von Willebrand factor,VWF,VWF,P04275,VWF_HUMAN,SwissProt,von Willebrand factor,VWF,P04275,VWF_HUMAN
sp|Q9UJJ9|GNPTG_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,N-acetylglucosamine-1-phosphotransferase subunit gamma,GNPTG,GNPTG,Q9UJJ9,GNPTG_HUMAN,SwissProt,N-acetylglucosamine-1-phosphotransferase subunit gamma,GNPTG,Q9UJJ9,GNPTG_HUMAN
sp|P20339|RAB5A_HUMAN / sp|P61020|RAB5B_HUMAN / sp|P51148|RAB5C_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Ras-related protein Rab-5A,RAB5A / RAB5B / RAB5C,RAB5A / RAB5B / RAB5C,P20339,,,Ras-related protein Rab-5A,RAB5A / RAB5B / RAB5C,P20339,
sp|P56705|WNT4_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Protein Wnt-4,WNT4,WNT4,P56705,WNT4_HUMAN,SwissProt,Protein Wnt-4,WNT4,P56705,WNT4_HUMAN
sp|Q14766|LTBP1_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Latent-transforming growth factor beta-binding protein 1,LTBP1,LTBP1,Q14766,LTBP1_HUMAN,SwissProt,Latent-transforming growth factor beta-binding protein 1,LTBP1,Q14766,LTBP1_HUMAN
sp|Q92484|ASM3A_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Cyclic GMP-AMP phosphodiesterase SMPDL3A,SMPDL3A,SMPDL3A,Q92484,ASM3A_HUMAN,SwissProt,Cyclic GMP-AMP phosphodiesterase SMPDL3A,SMPDL3A,Q92484,ASM3A_HUMAN
sp|P01833|PIGR_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Polymeric immunoglobulin receptor,PIGR,PIGR,P01833,PIGR_HUMAN,SwissProt,Polymeric immunoglobulin receptor,PIGR,P01833,PIGR_HUMAN
sp|Q13214|SEM3B_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Semaphorin-3B,SEMA3B,SEMA3B,Q13214,SEM3B_HUMAN,SwissProt,Semaphorin-3B,SEMA3B,Q13214,SEM3B_HUMAN
sp|Q9NS98|SEM3G_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Semaphorin-3G,SEMA3G,SEMA3G,Q9NS98,SEM3G_HUMAN,SwissProt,Semaphorin-3G,SEMA3G,Q9NS98,SEM3G_HUMAN
sp|P01871|IGHM_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Immunoglobulin heavy constant mu,IGHM,IGHM,P01871,IGHM_HUMAN,SwissProt,Immunoglobulin heavy constant mu,IGHM,P01871,IGHM_HUMAN
sp|Q9BU40|CRDL1_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Chordin-like protein 1,CHRDL1,CHRDL1,Q9BU40,CRDL1_HUMAN,SwissProt,Chordin-like protein 1,CHRDL1,Q9BU40,CRDL1_HUMAN
sp|O75347|TBCA_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Tubulin-specific chaperone A,TBCA,TBCA,O75347,TBCA_HUMAN,SwissProt,Tubulin-specific chaperone A,TBCA,O75347,TBCA_HUMAN
sp|P05023|AT1A1_HUMAN / sp|P13637|AT1A3_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1 / ATP1A3,ATP1A1 / ATP1A3,P05023,,,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1 / ATP1A3,P05023,
sp|P11142|HSP7C_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Heat shock cognate 71 kDa protein,HSPA8,HSPA8,P11142,HSP7C_HUMAN,SwissProt,Heat shock cognate 71 kDa protein,HSPA8,P11142,HSP7C_HUMAN
sp|P22897|MRC1_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Macrophage mannose receptor 1,MRC1,MRC1,P22897,MRC1_HUMAN,SwissProt,Macrophage mannose receptor 1,MRC1,P22897,MRC1_HUMAN
sp|Q15848|ADIPO_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Adiponectin,ADIPOQ,ADIPOQ,Q15848,ADIPO_HUMAN,SwissProt,Adiponectin,ADIPOQ,Q15848,ADIPO_HUMAN
sp|Q7Z4V5|HDGR2_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Hepatoma-derived growth factor-related protein 2,HDGFL2,HDGFL2,Q7Z4V5,HDGR2_HUMAN,SwissProt,Hepatoma-derived growth factor-related protein 2,HDGFL2,Q7Z4V5,HDGR2_HUMAN
sp|P04003|C4BPA_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,C4b-binding protein alpha chain,C4BPA,C4BPA,P04003,C4BPA_HUMAN,SwissProt,C4b-binding protein alpha chain,C4BPA,P04003,C4BPA_HUMAN
sp|P58215|LOXL3_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Lysyl oxidase homolog 3,LOXL3,LOXL3,P58215,LOXL3_HUMAN,SwissProt,Lysyl oxidase homolog 3,LOXL3,P58215,LOXL3_HUMAN
sp|P78417|GSTO1_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Glutathione S-transferase omega-1,GSTO1,GSTO1,P78417,GSTO1_HUMAN,SwissProt,Glutathione S-transferase omega-1,GSTO1,P78417,GSTO1_HUMAN
sp|Q01538|MYT1_HUMAN / sp|Q9UL68|MYT1L_HUMAN / sp|O60284|ST18_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Myelin transcription factor 1,MYT1 / MYT1L / ST18,MYT1 / MYT1L / ST18,Q01538,,,Myelin transcription factor 1,MYT1 / MYT1L / ST18,Q01538,
sp|Q01973|ROR1_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Inactive tyrosine-protein kinase transmembrane receptor ROR1,ROR1,ROR1,Q01973,ROR1_HUMAN,SwissProt,Inactive tyrosine-protein kinase transmembrane receptor ROR1,ROR1,Q01973,ROR1_HUMAN
sp|Q16143|SYUB_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Beta-synuclein,SNCB,SNCB,Q16143,SYUB_HUMAN,SwissProt,Beta-synuclein,SNCB,Q16143,SYUB_HUMAN
sp|Q8TBE9|NANP_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,N-acylneuraminate-9-phosphatase,NANP,NANP,Q8TBE9,NANP_HUMAN,SwissProt,N-acylneuraminate-9-phosphatase,NANP,Q8TBE9,NANP_HUMAN
sp|Q9C0G0|ZN407_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Zinc finger protein 407,ZNF407,ZNF407,Q9C0G0,ZN407_HUMAN,SwissProt,Zinc finger protein 407,ZNF407,Q9C0G0,ZN407_HUMAN
sp|O95445|APOM_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Apolipoprotein M,APOM,APOM,O95445,APOM_HUMAN,SwissProt,Apolipoprotein M,APOM,O95445,APOM_HUMAN
sp|P01138|NGF_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Beta-nerve growth factor,NGF,NGF,P01138,NGF_HUMAN,SwissProt,Beta-nerve growth factor,NGF,P01138,NGF_HUMAN
sp|P19971|TYPH_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Thymidine phosphorylase,TYMP,TYMP,P19971,TYPH_HUMAN,SwissProt,Thymidine phosphorylase,TYMP,P19971,TYPH_HUMAN
sp|P78386|KRT85_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,"Keratin, type II cuticular Hb5",KRT85,KRT85,P78386,KRT85_HUMAN,SwissProt,"Keratin, type II cuticular Hb5",KRT85,P78386,KRT85_HUMAN
sp|Q6PK81|ZN773_HUMAN / sp|Q96HQ0|ZN419_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Zinc finger protein 773,ZNF773 / ZNF419,ZNF773 / ZNF419,Q6PK81,,,Zinc finger protein 773,ZNF773 / ZNF419,Q6PK81,
sp|Q9NQS3|NECT3_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Nectin-3,NECTIN3,NECTIN3,Q9NQS3,NECT3_HUMAN,SwissProt,Nectin-3,NECTIN3,Q9NQS3,NECT3_HUMAN
sp|O43291|SPIT2_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Kunitz-type protease inhibitor 2,SPINT2,SPINT2,O43291,SPIT2_HUMAN,SwissProt,Kunitz-type protease inhibitor 2,SPINT2,O43291,SPIT2_HUMAN
sp|P01034|CYTC_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Cystatin-C,CST3,CST3,P01034,CYTC_HUMAN,SwissProt,Cystatin-C,CST3,P01034,CYTC_HUMAN
sp|Q14315|FLNC_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Filamin-C,FLNC,FLNC,Q14315,FLNC_HUMAN,SwissProt,Filamin-C,FLNC,Q14315,FLNC_HUMAN
sp|A6NL88|SHSA7_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Protein shisa-7,SHISA7,SHISA7,A6NL88,SHSA7_HUMAN,SwissProt,Protein shisa-7,SHISA7,A6NL88,SHSA7_HUMAN
sp|O15230|LAMA5_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Laminin subunit alpha-5,LAMA5,LAMA5,O15230,LAMA5_HUMAN,SwissProt,Laminin subunit alpha-5,LAMA5,O15230,LAMA5_HUMAN
sp|P80188|NGAL_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Neutrophil gelatinase-associated lipocalin,LCN2,LCN2,P80188,NGAL_HUMAN,SwissProt,Neutrophil gelatinase-associated lipocalin,LCN2,P80188,NGAL_HUMAN
sp|A0A0G2JS06|LV539_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Immunoglobulin lambda variable 5-39,IGLV5-39,IGLV5-39,A0A0G2JS06,LV539_HUMAN,SwissProt,Immunoglobulin lambda variable 5-39,IGLV5-39,A0A0G2JS06,LV539_HUMAN
sp|P00918|CAH2_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Carbonic anhydrase 2,CA2,CA2,P00918,CAH2_HUMAN,SwissProt,Carbonic anhydrase 2,CA2,P00918,CAH2_HUMAN
sp|P49862|KLK7_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Kallikrein-7,KLK7,KLK7,P49862,KLK7_HUMAN,SwissProt,Kallikrein-7,KLK7,P49862,KLK7_HUMAN
sp|P55285|CADH6_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Cadherin-6,CDH6,CDH6,P55285,CADH6_HUMAN,SwissProt,Cadherin-6,CDH6,P55285,CADH6_HUMAN
sp|Q04695|K1C17_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,"Keratin, type I cytoskeletal 17",KRT17,KRT17,Q04695,K1C17_HUMAN,SwissProt,"Keratin, type I cytoskeletal 17",KRT17,Q04695,K1C17_HUMAN
sp|Q13938|CAYP1_HUMAN,,,,,,,,,,,,0,Mixed-effects failed: Model failed: Singular matrix,1.0,False,Not significant,Calcyphosin,CAPS,CAPS,Q13938,CAYP1_HUMAN,SwissProt,Calcyphosin,CAPS,Q13938,CAYP1_HUMAN
